1992	1	(NA)
1992	2	(NA)
1992	3	(NA)
1992	4	(NA)
1992	5	(NA)
1992	6	(NA)
1992	7	(NA)
1992	8	(NA)
1992	9	(NA)
1992	10	(NA)
1992	11	(NA)
1992	12	(NA)
1993	1	(NA)
1993	2	(NA)
1993	3	(NA)
1993	4	(NA)
1993	5	(NA)
1993	6	(NA)
1993	7	(NA)
1993	8	(NA)
1993	9	(NA)
1993	10	(NA)
1993	11	(NA)
1993	12	(NA)
1994	1	(NA)
1994	2	(NA)
1994	3	(NA)
1994	4	(NA)
1994	5	(NA)
1994	6	(NA)
1994	7	(NA)
1994	8	(NA)
1994	9	(NA)
1994	10	(NA)
1994	11	(NA)
1994	12	(NA)
1995	1	(NA)
1995	2	(NA)
1995	3	(NA)
1995	4	(NA)
1995	5	(NA)
1995	6	(NA)
1995	7	(NA)
1995	8	(NA)
1995	9	(NA)
1995	10	(NA)
1995	11	(NA)
1995	12	(NA)
1996	1	(NA)
1996	2	(NA)
1996	3	(NA)
1996	4	(NA)
1996	5	(NA)
1996	6	(NA)
1996	7	(NA)
1996	8	(NA)
1996	9	(NA)
1996	10	(NA)
1996	11	(NA)
1996	12	(NA)
1997	1	(NA)
1997	2	(NA)
1997	3	(NA)
1997	4	(NA)
1997	5	(NA)
1997	6	(NA)
1997	7	(NA)
1997	8	(NA)
1997	9	(NA)
1997	10	(NA)
1997	11	(NA)
1997	12	(NA)
1998	1	(NA)
1998	2	(NA)
1998	3	(NA)
1998	4	(NA)
1998	5	(NA)
1998	6	(NA)
1998	7	(NA)
1998	8	(NA)
1998	9	(NA)
1998	10	(NA)
1998	11	(NA)
1998	12	(NA)
1999	1	(NA)
1999	2	(NA)
1999	3	(NA)
1999	4	(NA)
1999	5	(NA)
1999	6	(NA)
1999	7	(NA)
1999	8	(NA)
1999	9	(NA)
1999	10	(NA)
1999	11	(NA)
1999	12	(NA)
2000	1	(NA)
2000	2	(NA)
2000	3	(NA)
2000	4	(NA)
2000	5	(NA)
2000	6	(NA)
2000	7	(NA)
2000	8	(NA)
2000	9	(NA)
2000	10	(NA)
2000	11	(NA)
2000	12	(NA)
2001	1	1473
2001	2	1361
2001	3	1490
2001	4	1388
2001	5	1617
2001	6	1545
2001	7	1593
2001	8	1820
2001	9	1462
2001	10	1667
2001	11	2173
2001	12	2958
2002	1	1534
2002	2	1471
2002	3	1662
2002	4	1556
2002	5	1801
2002	6	1667
2002	7	1803
2002	8	1984
2002	9	1720
2002	10	1899
2002	11	2420
2002	12	3380
2003	1	1628
2003	2	1461
2003	3	1667
2003	4	1727
2003	5	1916
2003	6	1847
2003	7	1962
2003	8	2067
2003	9	1938
2003	10	2024
2003	11	2523
2003	12	3453
2004	1	1747
2004	2	1657
2004	3	1931
2004	4	1820
2004	5	1893
2004	6	1960
2004	7	2105
2004	8	2149
2004	9	1956
2004	10	2051
2004	11	2623
2004	12	3687
2005	1	1804
2005	2	1728
2005	3	2005
2005	4	1907
2005	5	1991
2005	6	2070
2005	7	2095
2005	8	2252
2005	9	2028
2005	10	2141
2005	11	2798
2005	12	3760
2006	1	2008
2006	2	1810
2006	3	2112
2006	4	1908
2006	5	2110
2006	6	2149
2006	7	2176
2006	8	2299
2006	9	2191
2006	10	2233
2006	11	2841
2006	12	3887
2007	1	2088
2007	2	1843
2007	3	2155
2007	4	1926
2007	5	2180
2007	6	2171
2007	7	2253
2007	8	2410
2007	9	2093
2007	10	2193
2007	11	2980
2007	12	3771
2008	1	1968
2008	2	1843
2008	3	1937
2008	4	1893
2008	5	2056
2008	6	2061
2008	7	2190
2008	8	2079
2008	9	1866
2008	10	2011
2008	11	2538
2008	12	3352
2009	1	1677
2009	2	1456
2009	3	1726
2009	4	1683
2009	5	1799
2009	6	1713
2009	7	1862
2009	8	1810
2009	9	1745
2009	10	1747
2009	11	2244
2009	12	3187
2010	1	1579
2010	2	1484
2010	3	1833
2010	4	1735
2010	5	1771
2010	6	1729
2010	7	1889
2010	8	1882
2010	9	1800
2010	10	1758
2010	11	2387
2010	12	3277
2011	1	1642
2011	2	1575
2011	3	1919
2011	4	1793
2011	5	1883
2011	6	1877
2011	7	1895
2011	8	1997
2011	9	1913
2011	10	1834
2011	11	2458
2011	12	3406
2012	1	1784
2012	2	1667
2012	3	1985
2012	4	1748
2012	5	2006
2012	6	1906
2012	7	2012
2012	8	2094
2012	9	1939
2012	10	1998
2012	11	2596
2012	12	3530
2013	1	2022
2013	2	1839
2013	3	2013
2013	4	1939
2013	5	2086
2013	6	1952
2013	7	2109
2013	8	2194
2013	9	1995
2013	10	2129
2013	11	2696
2013	12	3572
2014	1	1924
2014	2	1840
2014	3	2024
2014	4	2011
2014	5	2156
2014	6	2022
2014	7	2265
2014	8	2289
2014	9	2108
2014	10	2192
2014	11	2672
2014	12	3909
2015	1	2030
2015	2	1897
2015	3	2200
2015	4	2129
2015	5	2273
2015	6	2187
