1992 1 138830
1992 2 132921
1992 3 150672
1992 4 146927
1992 5 141749
1992 6 150869
1992 7 150768
1992 8 147079
1992 9 152030
1992 10 158307
1992 11 145676
1992 12 151302
1993 1 140824
1993 2 138267
1993 3 159749
1993 4 154677
1993 5 153693
1993 6 158043
1993 7 152798
1993 8 159014
1993 9 158768
1993 10 160576
1993 11 156357
1993 12 155449
1994 1 143826
1994 2 143069
1994 3 171413
1994 4 157193
1994 5 163090
1994 6 168454
1994 7 157254
1994 8 177898
1994 9 172066
1994 10 176341
1994 11 171870
1994 12 172425
1995 1 165397
1995 2 161211
1995 3 186778
1995 4 170025
1995 5 185818
1995 6 186564
1995 7 172384
1995 8 191076
1995 9 181621
1995 10 193246
1995 11 184672
1995 12 180188
1996 1 178477
1996 2 176150
1996 3 189303
1996 4 189906
1996 5 195454
1996 6 185356
1996 7 193212
1996 8 196149
1996 9 190873
1996 10 209454
1996 11 189016
1996 12 190993
1997 1 186983
1997 2 181571
1997 3 200205
1997 4 198723
1997 5 200357
1997 6 199810
1997 7 200632
1997 8 195457
1997 9 206341
1997 10 215636
1997 11 188397
1997 12 203733
1998 1 187750
1998 2 183337
1998 3 211184
1998 4 204583
1998 5 198874
1998 6 210701
1998 7 204982
1998 8 199128
1998 9 207425
1998 10 212915
1998 11 196656
1998 12 209585
1999 1 184434
1999 2 188602
1999 3 225471
1999 4 212372
1999 5 211738
1999 6 226910
1999 7 215120
1999 8 223078
1999 9 226580
1999 10 226868
1999 11 225903
1999 12 232083
2000 1 208053
2000 2 218632
2000 3 248659
2000 4 222637
2000 5 243460
2000 6 247509
2000 7 226260
2000 8 246918
2000 9 236862
2000 10 248451
2000 11 236370
2000 12 230743
2001 1 229917
2001 2 217231
2001 3 245078
2001 4 229085
2001 5 244303
2001 6 234330
2001 7 228826
2001 8 242911
2001 9 223722
2001 10 243615
2001 11 227250
2001 12 218884
2002 1 220173
2002 2 210596
2002 3 234089
2002 4 237757
2002 5 244150
2002 6 234015
2002 7 241943
2002 8 245497
2002 9 237792
2002 10 255957
2002 11 235200
2002 12 238359
2003 1 235203
2003 2 223951
2003 3 251650
2003 4 246510
2003 5 244275
2003 6 248528
2003 7 252280
2003 8 245663
2003 9 255324
2003 10 270911
2003 11 240507
2003 12 263480
2004 1 242664
2004 2 244547
2004 3 293916
2004 4 277963
2004 5 269321
2004 6 287297
2004 7 273064
2004 8 285655
2004 9 286115
2004 10 287056
2004 11 286871
2004 12 295542
2005 1 266882
2005 2 267830
2005 3 316292
2005 4 296040
2005 5 300524
2005 6 311842
2005 7 289919
2005 8 322704
2005 9 319981
2005 10 321283
2005 11 311440
2005 12 313759
2006 1 299076
2006 2 290574
2006 3 344649
2006 4 312685
2006 5 342560
2006 6 347750
2006 7 320414
2006 8 354860
2006 9 330558
2006 10 344117
2006 11 329163
2006 12 324851
2007 1 321055
2007 2 305197
2007 3 356519
2007 4 344037
2007 5 366773
2007 6 360350
2007 7 347436
2007 8 372162
2007 9 345821
2007 10 386978
2007 11 366746
2007 12 350399
2008 1 362186
2008 2 350169
2008 3 381146
2008 4 393545
2008 5 400663
2008 6 412016
2008 7 409811
2008 8 392732
2008 9 392838
2008 10 389350
2008 11 313162
2008 12 326739
2009 1 293070
2009 2 283241
2009 3 316842
2009 4 312102
2009 5 307194
2009 6 331015
2009 7 324202
2009 8 320167
2009 9 331566
2009 10 340511
2009 11 325114
2009 12 344354
2010 1 313005
2010 2 311426
2010 3 377639
2010 4 365877
2010 5 354645
2010 6 375060
2010 7 358587
2010 8 371804
2010 9 370916
2010 10 376257
2010 11 376995
2010 12 385148
2011 1 362401
2011 2 351152
2011 3 431876
2011 4 405222
2011 5 413021
2011 6 424308
2011 7 393681
2011 8 434066
2011 9 419572
2011 10 419515
2011 11 412822
2011 12 417440
2012 1 402004
2012 2 402802
2012 3 452880
2012 4 437590
2012 5 456238
2012 6 433445
2012 7 421555
2012 8 449435
2012 9 420909
2012 10 461882
2012 11 442036
2012 12 427247
2013 1 429034
2013 2 401817
2013 3 446077
2013 4 451187
2013 5 469705
2013 6 440298
2013 7 449717
2013 8 455313
2013 9 441712
2013 10 483648
2013 11 443654
2013 12 458388
2014 1 433383
2014 2 406663
2014 3 465780
2014 4 475942
2014 5 480680
2014 6 474464
2014 7 479003
2014 8 463483
2014 9 475654
2014 10 496486
2014 11 439668
2014 12 472974
2015 1 413973
2015 2 391355
2015 3 451779
2015 4 452140
2015 5 442123
2015 6 468527
2015 7 451454
2015 8 434373
2015 9 451506
2015 10 461893
2015 11 424472
2015 12 448841
2016 1 382121
2016 2 391226
2016 3 451567
2016 4 424345
2016 5 438996
2016 6 460282
2016 7 416995
2016 8 457959
2016 9 448571
2016 10 450006
2016 11 446566
2016 12 459851
2017 1 422331
2017 2 406908
2017 3 481453
2017 4 438347
2017 5 475246
2017 6 480099
2017 7 437699
2017 8 486731
2017 9 467501
2017 10 495938
2017 11 484580
2017 12 481065
2018 1 457074
2018 2 431140
2018 3 500911
2018 4 480831
2018 5 529591
2018 6 510173
2018 7 491711
2018 8 525757
2018 9 487449
2018 10 537910
2018 11 498433
2018 12 485980
2019 1 470437
2019 2 438319
2019 3 503671
2019 4 508917
2019 5 525676
2019 6 496184
